,,,,cy,Cryic,,,"(from Greek kryos, cold, ice): having a cryic horizon starting ? 100 cm from the soil surface, or having a cryic horizon starting ? 200 cm from the soil surface with evidence of cryoturbation in some layer ? 100 cm from the soil surface (1; Epi- and Endo- only; referring to the upper limit of the cryic horizon).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,ct,Cutanic,,,"(from Latin cutis, skin): having an argic or natric horizon that meets diagnostic criterion 2b for the respective horizon.",natric horizon,,,,,,,,,,,,,,,,,,,,,
,,,,dn,Densic,,,"(from Latin densus, dense): having natural or artificial compaction ? 100 cm from the soil surface to the extent that roots cannot penetrate, or can only penetrate it with severe difficulty (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,df,Differentic,,,"(from Latin differentia, difference): having an argic or natric horizon that meets diagnostic criterion 2a for the respective horizon.",,,,,,,,,,,,,,,,,,,,,,
,,,,do,Dolomitic,,,"(from the mineral dolomite, named after the French geoscientist D�odat de Dolomieu): having dolomitic material throughout between 20 and 100 cm from the soil surface or between 20 cm and continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (4).",,,,,,,,,,,,,,,,,,,,,,
,,,,dr,Drainic,,,"(from French drainer, to drain): having artificial drainage.",,,,,,,,,,,,,,,,,,,,,,
,,,,du,Duric,,,"(from Latin durus, hard): having a duric horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ju,,Hyperduric,,"(from Greek hyper, over): having a duric horizon with ? 50% (by volume) durinodes or fragments of a broken-up petroduric horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,dy,Dystric,,,"(from Greek dys, bad, and trophae, food): having: � in Histosols, a pHwater < 5.5 in half or more of the part with organic material, within 100 cm of the soil surface, � in other soils, an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50%: * in half or more of the part between 20 and 100 cm from the mineral soil surface, or * in half or more of the part between 20 cm from the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting > 25 cm from the mineral soil surface, or * in a layer ? 5 cm thick, directly above continuous rock, technic hard material or a cemented or indurated layer starting ? 25 cm from the mineral soil surface (3).",organic material,effective base saturation,exchangeable bases,exchangeable Al,mineral soil surface,,,,,,,,,,,,,,,,,
,,,,jd,,Hyperdystric,,"(from Greek hyper, over): having: � in Histosols, a pHwater < 5.5 throughout in the organic material within 100 cm of the soil surface and < 50% throughout between 20 and 100 cm from the mineral soil surface, and < 20% in some layer between 20 and 100 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,od,,Orthidystric,,"(from Greek orthos, right): having: � in Histosols, a pHwater < 5.5 throughout in the organic material within 100 cm of the soil surface, � in other soils, an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50% throughout
between 20 and 100 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,ek,Ekranic,,,"(from French �cran, shield): having technic hard material starting ? 5 cm from the soil surface (in Technosols only).",,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,et,Entic,,,"(from Latin recens, young): having a loose spodic horizon and not having a layer with albic material (in Podzols only).",spodic horizon,albic material,,,,,,,,,,,,,,,,,,,,
0,,,-1,ec,Escalic,,,"(from Spanish escala, terrace): occurring in human-made terraces.",human-made terraces,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,eu,Eutric,,,"(from Greek eu, good, and trophae, food): having: � in Histosols, a pHwater ? 5.5 in the major part with organic material, within 100 cm of the soil surface, � in other soils, an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50%: * in the major part between 20 and 100 cm from the mineral soil surface, or * in the major part between 20 cm from the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting > 25 cm from the mineral soil surface, or * in a layer ? 5 cm thick, directly above continuous rock, technic hard material or a cemented or indurated layer starting ? 25 cm from the mineral soil surface (3).",pHwater,organic material,effective base saturation,exchangeable bases,exchangeable Al,mineral soil surface,,,,,,,,,,,,,,,,
,,,,je,,Hypereutric,,"(from Greek hyper, over): having: � in Histosols, a pHwater ? 5.5 throughout in the organic material within 100 cm of the soil surface and ? 6.5 in some layer with organic material within ? 100 cm of the soil surface, � in other soils, an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50% throughout between 20 and 100 cm from the mineral soil surface, and ? 80% in some layer between 20 and 100 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,ol,,Oligeoeutric,,"(from Greek oligos, few): having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50% and a sum of exchangeable bases of < 5 cmolc kg-1 clay: * in the major part between 20 and 100 cm from the mineral soil surface, or * in the major part between 20 cm from the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting > 25 cm from the mineral soil surface, or * in a layer ? 5 cm thick, directly above continuous rock, technic hard material or a cemented or indurated layer starting ? 25 cm from the mineral soil surface (3).",,,,,,,,,,,,,,,,,,,,,,
,,,,oe,,Orthieutric,,"(from Greek orthos, right): having: � in Histosols, a pHwater ? 5.5 throughout in the organic material within 100 cm of the soil surface, � in other soils, an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50% throughout between 20 and 100 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,es,Eutrisilic,,,"(from Greek eu, good, and trophae, food, and Latin silicia, siliconcontaining material): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 30 cm, with andic properties and a sum of exchangeable bases (by 1 M NH4OAc, pH 7) of ? 15 cmolc kg-1 fine earth (in Andosols only) (2).",andic properties,exchangeable bases,fine earth,,,,,,,,,,,,,,,,,,,
,,,,ev,Evapocrustic,,,"(from Latin e, out, and vapor, steam, and crusta, crust): having a saline crust ? 2 cm thick, on the soil surface (in Solonchaks only).",,,,,,,,,,,,,,,,,,,,,,
,,,,es,Eutrosilic,,," (from Greek eu, good, and trophae, food, and Latin silicia, silicon containing material): having within ≤ 100 cm of the soil surface one or more layers with a combined thickness of ≥ 30 cm, with andic properties and a sum of exchangeable bases (by 1 M NH4OAc, pH 7) of ≥ 15 cmolc kg-1 fine earth (in Andosols only)",,,,,,,,,,,,,,,,,,,,,,
,,,,fl,Ferralic,,,"(from Latin ferrum, iron, and alumen, alum): having a ferralic horizon starting ? 150 cm of the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,fr,Ferric,,,"(from Latin ferrum, iron): having a ferric horizon starting ? 100 cm of the soil surface (2).",ferric horizon,,,,,,,,,,,,,,,,,,,,,
,,,,mf,,Manganiferric,,"(from Latin magnesia nigra, black mineral from the city of Magnesia): having a ferric horizon starting ? 100 cm from the soil surface in which ? 50% of the concretions and/or nodules and/or mottles are black (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,fe,Ferritic,,,"(from Latin ferrum, iron): having a layer ? 30 cm thick, and starting ? 100 cm from the soil surface, with Fedith in the fine earth fraction of ? 10% and not forming part of a petroplinthic, pisoplinthic or plinthic horizon (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,jf,,Hyperferritic,,"(from Greek hyper, over): having a layer ? 30 cm thick, and starting ? 100 cm from the soil surface, with Fedith in the fine earth fraction of ? 30% and not forming part of a petroplinthic, pisoplinthic or plinthic horizon (2).",,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,fi,Fibric,,,"(from Latin fibra, fiber): having, after rubbing, two-thirds or more (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).",organic material,recognizable plant tissue,,,,,,,,,,,,,,,,,,,,
,,,,ft,Floatic,,,(from English to float): having organic material floating on water (in Histosols only).,,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,fv,Fluvic,,,"(from Latin fluvius, river): having fluvic material ? 25 cm thick, and starting ? 75 cm from the mineral soil surface (2).",fluvic material,,,,,,,,,,,,,,,,,,,,,
,,,,kf,,Akrofluvic,,"(from Greek akra, top): having fluvic material from the mineral soil surface to a depth of ? 5 cm, but < 25 cm thick (note: in addition to the Akrofluvic subqualifier, a soil may also have the Amphifluvic, the Katofluvic or the Endofluvic subqualifier).",,,,,,,,,,,,,,,,,,,,,,
,,,,of,,Orthofluvic,,"(from Greek orthos, right): having fluvic material: � from the mineral soil surface to a depth of ? 5 cm, and * ? 25 cm thick, and starting ? 25 cm from the mineral soil surface, or * from the lower limit of a plough layer that is ? 40 cm thick, to a depth of ? 50 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,fo,Folic,,,having a folic horizon starting at the soil surface.,,,,,,,,,,,,,,,,,,,,,,
,,,,fc,Fractic,,,"(from Latin fractus, broken): having a layer ? 10 cm thick, and starting ? 100 cm from the soil surface, consisting of a broken cemented or indurated horizon, the remnants of which: � occupy a volume of ? 40%, and � have an average horizontal length of < 10 cm and/or occupy a volume of < 80% (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,cf,,Calcifractic,,"(from Latin calx, lime): having a layer ? 10 cm thick, and starting ? 100 cm from the soil surface, consisting of a broken petrocalcic horizon, the remnants of which: � occupy a volume of ? 40%, and � have an average horizontal length of < 10 cm and/or occupy a volume of < 80% (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,gf,,Gypsifractic,,"(from Greek gypsos, gypsum): having a layer ? 10 cm thick, and starting ? 100 cm from the soil surface, consisting of a broken petrogypsic horizon, the remnants of which: � occupy a volume of ? 40%, and � have an average horizontal length of < 10 cm and/or occupy a volume of < 80% (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,pf,,Plinthofractic,,"(from Greek plinthos, brick): having a layer ? 10 cm thick, and starting ? 100 cm from the soil surface, consisting of a broken petroplinthic horizon, the remnants of which: � occupy a volume of ? 40%, and � have an average horizontal length of < 10 cm and/or occupy a volume < 80% (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,fg,Fragic,,,"(from Latin fragilis, fragile): having a fragic horizon starting ? 100 cm from the soil surface (2).",fragic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,fu,Fulvic,,,"(from Latin fulvus, dark yellow): having a fulvic horizon starting ? 30 cm from the soil surface (2: except Endo-).",,,,,,,,,,,,,,,,,,,,,,
,,,,ga,Garbic,,,"(from English garbage): having a layer ? 20 cm thick, within ? 100 cm of the soil surface, with ? 20% (by volume, weighted average) artefacts containing ? 35% (by volume) organic waste (in Technosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ge,Gelic,,,"(from Latin gelare, to freeze): � having a layer with a soil temperature of ? 0 �C for ? 2 consecutive years, starting ? 200 cm from the soil surface, and � not having a cryic horizon starting ? 100 cm from the soil surface, and � not having a cryic horizon starting ? 200 cm from the soil surface with evidence of cryoturbation in some layer within ? 100 cm of the soil surface (1; Epi- and Endo- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,gt,Gelistagnic,,,"(from Latin gelare, to freeze, and stagnare, to stagnate): having temporary water saturation caused by a frozen layer.",,,,,,,,,,,,,,,,,,,,,,
,,,,gr,Geric,,,"(from Greek geraios, old): having within ? 100 cm of the soil surface a layer with geric properties (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,gi,Gibbsic,,,"(from the mineral gibbsite, named after the US mineralogist George Gibbs): having a layer ? 30 cm thick, and starting ? 100 cm from the soil surface, containing ? 25% gibbsite in the fine earth fraction (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,gg,Gilgaic,,,"(from Aboriginal Australian gilgai, water hole): having at the soil surface, microhighs and microlows with a difference in level of ? 10 cm, i.e. gilgai microrelief (in Vertisols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,gc,Glacic,,,"(from Latin glacies, ice): having a layer ? 30 cm thick, and starting ? 100 cm from the soil surface, containing ? 75% ice (by volume) (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,gl,Gleyic,,,"(from Russian gley, mucky soil mass): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that has gleyic properties throughout and reducing conditions in some parts of every sublayer (2).",gleyic properties,,,,,,,,,,,,,,,,,,,,,
,,,,rl,,Relictigleyic,,"(from Latin relictus, left back): having a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, that has gleyic properties throughout and no reducing conditions (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,gs,Glossic,,,"(from Greek glossa, tongue): having albeluvic glossae starting ? 100 cm from the soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,gz,Greyzemic,,,"(from English grey, and Russian zemlya, earth): having uncoated silt and sand grains on structural faces in the lower half of a mollic horizon.",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,gm,Grumic,,,"(from Latin grumus, soil heap): having a soil surface layer ? 1 cm thick, with a strong granular structure, coarse (10 mm) or finer, i.e. �self-mulching� (in Vertisols only).",structure,,,,,,,,,,,,,,,,,,,,,
,,,,gy,Gypsic,,,"(from Greek gypsos, gypsum): having a gypsic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,jg,,Hypergypsic,,"(from Greek hyper, over): having a gypsic horizon with a gypsum content in the fine earth fraction of ? 50% (by mass) and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,wg,,Hypogypsic,,"(from Greek hypo, under): having a gypsic horizon with a gypsum content in the fine earth fraction of < 25% (by mass) and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,gp,Gypsiric,,,"(from Greek gypsos, gypsum): having gypsiric material throughout between 20 and 100 cm from the soil surface or between 20 cm and continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower; and not having a gypsic or petrogypsic horizon starting ? 100 cm from the soil surface (4).",gypsiric material,gypsic horizon ,petrogypsic horizon ,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,ha,Haplic,,,"(from Greek haplous, simple): having a typical expression of certain features (typical in the sense that there is no further or meaningful characterization) and only used if none of the preceding qualifiers applies.",none of the preceding qualifiers applies,,,,,,,,,,,,,,,,,,,,,
,,,,hm,Hemic,,,"(from Greek hemisys, half): having, after rubbing, less than twothirds and one-sixth or more (by volume) of the organic material consisting of recognizable plant tissue within 100 cm of the soil surface (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,hi,Histic,,,"(from Greek histos, tissue): having a histic horizon starting at the soil surface.",histic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,ht,Hortic,,,"(from Latin hortus, garden): having a hortic horizon (2: Panto- only).",,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,hu,Humic,,,"(from Latin humus, earth): having ? 1% soil organic carbon in the fine earth fraction as a weighted average to a depth of 50 cm from the mineral soil surface (if continuous rock, technic hard material or a cemented or indurated layer starts within the specified depth, the depth range below that contributes a 0 to the
calculation).",soil organic carbon,,,,,,,,,,,,,,,,,,,,,
,,,,jh,,Hyperhumic,,"(from Greek hyper, over): having ? 5% soil organic carbon in the fine earth fraction as a weighted average to a depth of 50 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,dh,,Profundihumic,,"(from Latin profundus, deep): having ? 1.4% soil organic carbon in the fine earth fraction as a weighted average to a depth of 100 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,hg,Hydragric,,,"(from Greek hydor, water, and Latin ager, field): having an anthraquic horizon and a directly underlying hydragric horizon, the latter starting ? 100 cm from the soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,jy,,Hyperhydragric,,"(from Greek hyper, over): having an anthraquic horizon and a directly underlying hydragric horizon with a combined thickness of ? 100 cm.",,,,,,,,,,,,,,,,,,,,,,
,,,,hy,Hydric,,,"(from Greek hydor, water): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 35 cm that have a water content ? 100% at 1500 kPa tension, measured without previous drying of the sample (in Andosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,hf,Hydrophobic,,,"(from Greek hydor, water, and phobos, fear): water-repellent, i.e. water stands on a dry soil surface for ? 60 seconds (in Arenosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,ja,Hyperartefactic,,,"(from Greek hyper, over, and Latin ars, art, and factus, made): having ? 50% (by volume, weighted average) artefacts within 100 cm of the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (in Technosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,jo,Hyperorganic,,,"(from Greek hyper, over, and organon, tool): having organic material ? 200 cm thick (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,jk,Hyperskeletic,,,"(from Greek hyper, over, and skeletos, dried out): having < 20% (by volume) fine earth, averaged over a depth of 75 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer starting >25 cm from the soil surface, whichever is shallower",,,,,,,,,,,,,,,,,,,,,,
,,,,im,Immissic,,,"(from Latin immissus, sent inside): having at the soil surface a layer ? 10 cm thick, with ? 20% (by mass) recently sedimented dust, soot or ash that meets the criteria of artefacts (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,ic,Inclinic,,,"(from Latin inclinare, to bow): having � a slope inclination of ? 5%, and � a layer ? 25 cm thick, and starting ? 75 cm from the mineral soil surface, with gleyic or stagnic properties and a subsurface water flow for some time during the year.",,,,,,,,,,,,,,,,,,,,,,
,,,,ia,Infraandic,,,"(from Latin infra, below, and Japanese an, dark, and do, soil): having a layer ? 15 cm thick, that underlies a soil classified with preference according to the �Rules for classifying soils� (Chapter 2.5) and that meets diagnostic criteria 1 and 3 of the andic properties and fails diagnostic criterion 2.",,,,,,,,,,,,,,,,,,,,,,
,,,,is,Infraspodic,,,"(from Latin infra, below, and Greek spodos, wood ash): having a layer that underlies a soil classified with preference according to the �Rules for classifying soils� (Chapter 2.5) and that meets diagnostic criteria 3 to 6 of the spodic horizon and fails diagnostic criterion 1 or 2 or both.",,,,,,,,,,,,,,,,,,,,,,
,,,,ir,Irragric,,,"(from Latin irrigare, to irrigate, and ager, field): having an irragric horizon (2: Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,il,Isolatic,,,"(from Italian isola, island): having, above technic hard material, above a geomembrane or above a continuous layer of artefacts starting ? 100 cm from the soil surface, soil material containing fine earth without any contact to other soil material containing fine earth (e.g. soils on roofs or in pots).",,,,,,,,,,,,,,,,,,,,,,
,,,,II,Lamellic,,,"(from Latin lamella, metal blade): having two or more lamellae (? 0.5 and < 7.5 cm thick) that have higher clay contents than the directly overlying layers as stated in the diagnostic criteria 2.a of the argic horizon, with a combined thickness of ? 5 cm; the uppermost lamella starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ta,,Totilamellic,,"(from Latin totus, complete): having an argic horizon that consists entirely of lamellae starting ? 100 cm from the soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,ld,Lapiadic,,,"(from Latin lapis, stone): having at the soil surface continuous rock that has dissolution features (rills, grooves), ? 20 cm deep and covering ? 10 and < 50% of the surface of the continuous rock (in Leptosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,la,Laxic,,,"(from Latin laxus, slack): having between 25 and 75 cm from the mineral soil surface a mineral soil layer ? 20 cm thick, that has a bulk density24 of ? 0.9 kg dm-3.",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,le,Leptic,,,"(from Greek leptos, thin): having continuous rock or technic hard material starting ? 100 cm from the soil surface (1: Epi- and Endo- only).",continuous rock ,technic hard material,,,,,,,,,,,,,,,,,,,,
,,,,tl,,Technoleptic,,"(from Greek technae, art): having technic hard material starting ? 100 cm from the soil surface (1: Epi- and Endo- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,lg,Lignic,,,"(from Latin lignum, wood): having inclusions of intact wood fragments that make up ? 25% of the soil volume, within 50 cm from the soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,lm,Limnic,,,"(from Greek limnae, pool): having one or more layers with limnic material with a combined thickness of ? 10 cm within ? 50 cm of the soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,lc,Linic,,,"(from Latin linea, line): having a continuous, very slowly permeable to impermeable constructed geomembrane of any thickness starting ? 100 cm from the soil surface (1).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,li,Lithic,,,"(from Greek lithos, stone): having continuous rock or technic hard material starting ? 10 cm from the soil surface (in Leptosols only).",continuous rock ,technic hard material,,,,,,,,,,,,,,,,,,,,
,,,,tt,,Technolithic,,"(from Greek technae, art): having technic hard material starting ? 10 cm from the soil surface (in Leptosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,nt,,Nudilithic,,"(from Latin nudus, naked): having continuous rock at the surface (in Leptosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,Ix,Lixic,,,"(from Latin lixivia, washed-out substances): having an argic horizon starting ? 100 cm from the soil surface and having a CEC (by 1 M NH4OAc, pH 7) of < 24 cmolc kg-1 clay in some part ? 50 cm below its upper limit; and having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50% in the major part between 50 and 100 cm from the mineral soil surface or in the lower half of the mineral soil above continuous rock, technic hard material or a cemented or indurated layer starting ? 100 cm from the mineral soil surface, whichever is shallower (2).",,,,,,,,,,,,,,,,,,,,,,
0,-1,,,lo,Loamic,,,"(from English loam): having a texture class of loam, sandy loam, sandy clay loam, clay loam or silty clay loam in a layer ? 30 cm thick, within ? 100 cm of the mineral soil surface or in the major part between the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting < 60 cm from the mineral soil surface (2; no subqualifier if continuous rock or technic hard material starts < 60 cm from the mineral soil surface).",texture,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,Iv,Luvic,,,"(from Latin eluere, to wash): having an argic horizon starting ? 100 cm from the soil surface and having a CEC (by 1 M NH4OAc, pH 7) of ? 24 cmolc kg-1 clay throughout or to a depth of 50 cm of its upper limit, whichever is thinner; and having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50% in the
major part between 50 and 100 cm from the mineral soil surface or in the lower
half of the mineral soil above continuous rock, technic hard material or a cemented
or indurated layer starting ? 100 cm from the mineral soil surface, whichever is
shallower (2).",argic horizon,cation exchange capacity,effective base saturation ,exchangeable bases,exchangeable Al,mineral soil surface,,,,,,,,,,,,,,,,
,,,,mg,Magnesic,,,"(from the chemical element magnesium - no agreed etymology): having an exchangeable Ca to Mg ratio of < 1 in the major part within 100 cm of the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (3).",,,,,,,,,,,,,,,,,,,,,,
,,,,jm,,Hypermagnesic,,"(from Greek hyper, over): having an exchangeable Ca to Mg ratio of < 0.1 in the major part within 100 cm of the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (3).",,,,,,,,,,,,,,,,,,,,,,
,,,,mw,Mawic,,,"(from Kiswahili mawe, stones): having a layer of coarse fragments, the interstices of which are filled with organic material, and that is directly overlain by organic material (in Histosols only) (1: Epi- and Endo- only; referring to the upper limit of the layer of coarse fragments).",,,,,,,,,,,,,,,,,,,,,,
,,,,mz,Mazic,,,"(from Spanish maza, cudgel): massive and hard to very hard in the upper 20 cm of the soil (in Vertisols only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,me,Melanic,,,"(from Greek melas, black): having a melanic horizon starting ? 30 cm from the soil surface (in Andosols only) (2: except Endo-).",melanic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,ms,Mesotrophic,,,"(from Greek mesos, middle, and trophae, food): having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 75% at a depth of 20 cm from the soil surface (in Vertisols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,mi,Mineralic,,,"(from Celtic mine, mineral): having, within ? 100 cm of the soil surface, one or more layers of mineral material with a combined thickness of ? 20 cm, in between layers of organic material (in Histosols only) (2: Epi-, Endo-, Amphi- and Kato- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,km,,Akromineralic,,"(from Greek akra, top): having mineral material, ? 5 cm thick, starting at the soil surface, but the layers of mineral material above or in between layers of organic material have a combined thickness of < 20 cm (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,oi,,Orthomineralic,,"(from Greek orthos, right): having: � mineral material, ? 5 cm thick, starting at the soil surface, and � within ? 100 cm of the soil surface, one or more layers of mineral material with a combined thickness of ? 20 cm, above or in between layers of organic material (in Histosols only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,mo,Mollic,,,"(from Latin mollis, soft): having a mollic horizon (2: Ano- and Pantoonly).",mollic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,am,,Anthromollic,,"(from Greek anthropos, human being): having a mollic horizon and anthric properties (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,sm,,Somerimollic,,"(from Spanish somero, superficial): having a mollic horizon, < 20 cm thick.",,,,,,,,,,,,,,,,,,,,,,
,,,,tm,,Tonguimollic,,"(from English tongue): having a mollic horizon that tongues into an underlying layer (2: Ano- and Panto- only; referring to the mollic horizon, not to the tongues).",,,,,,,,,,,,,,,,,,,,,,
,,,,mh,Murshic,,,"(from Polish mursz, decay): having a drained histic horizon ? 20 cm thick, and starting ? 10 cm from the soil surface or below a folic horizon, with a bulk density25 of ? 0.2 kg dm-3 and one or both of the following: � moderate to strong granular or blocky structure, or � cracks (in Histosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,mu,Muusic,,,"(from Sakha muus, ice): having ice that is directly overlain by organic material (in Histosols only) (1: Epi- and Endo- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,na,Natric,,,"(from Arabic natroon, salt): having a natric horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,jn,,Hypernatric,,"(from Greek hyper, over): having a natric horizon with an exchangeable Na percentage (ESP) of ? 15 throughout the entire natric horizon or within its upper 40 cm, whichever is thinner.",,,,,,,,,,,,,,,,,,,,,,
,,,,nn,,Nudinatric,,"(from Latin nudus, naked): having a natric horizon starting at the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,ne,Nechic,,,"(from Amharic nech, white): having uncoated mineral grains of silt or sand size in a darker matrix somewhere within ? 5 cm of the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,,ni,Nitic,,,"(from Latin nitidus, shiny): having a nitic horizon starting ? 100 cm from the soil surface. (2)",,,,,,,,,,,,,,,,,,,,,,
